S05c_025,S05c_026,S05c_027,S05c_028,S05c_029,S05c_030,S05c_031,S05c_032,S05c_033,S05c_034,S05c_035,S05c_036,S05c_037,S05c_038,S05c_039,S05c_040,S05c_041,S05c_042,S05c_043,S05c_044,S05c_045,S05c_046,S05c_047,S05c_048,S05c_049,S05c_050,S05c_051,S05c_052,S05c_053,S05c_054,S05c_055,S05c_056,S05c_057,longitude,latitude
2008,8704,お台場海浜公園,0,82,0,0,0,0,0,0,290,5237,0,0,0,0,5609,0,82,0,0,0,0,0,0,290,5092,0,0,0,0,5464,139.77818,35.62961
2008,8706,船の科学館,0,0,0,0,0,0,0,0,52,353,0,0,0,0,405,0,0,0,0,0,0,0,0,52,492,0,0,0,0,544,139.77335,35.62129
2008,8707,テレコムセンター,171,0,0,0,184,0,0,0,79,7391,0,0,0,35,7860,243,0,0,0,184,0,0,0,79,7368,0,0,0,0,7874,139.78001,35.61791
2008,8705,台場,0,0,0,0,0,0,0,0,59,3948,0,0,0,0,4007,0,0,0,0,0,0,0,0,87,4046,0,0,0,0,4133,139.77103,35.62568
2008,8709,国際展示場正門,0,0,0,0,0,0,0,0,0,5920,0,0,0,0,5920,0,0,0,0,0,0,0,0,0,6012,0,0,0,0,6012,139.792,35.63059
2008,8701,竹芝,0,0,0,0,0,0,0,0,0,2054,0,60,97,43,2254,0,0,0,0,0,47,0,0,0,2287,0,0,0,0,2334,139.76179,35.65378
2008,8703,芝浦ふ頭,0,0,0,0,0,0,0,85,182,3655,0,0,0,0,3922,0,0,0,0,0,62,0,85,72,3092,0,0,0,0,3311,139.75786,35.64249
2008,8702,日の出,0,0,0,0,0,0,0,0,0,1604,0,23,0,0,1627,0,0,0,0,0,0,0,0,0,1954,0,0,0,0,1954,139.75932,35.64961
2008,8713,新豊洲,0,0,0,0,0,0,0,0,0,913,0,0,0,0,913,0,0,0,0,0,0,0,0,0,1004,0,0,0,0,1004,139.78985,35.64853
2008,8712,市場前,0,0,0,0,0,0,0,0,0,38,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,38,139.7853,35.64548
2008,8711,有明テニスの森,0,0,0,0,0,0,0,0,0,584,0,0,0,0,584,0,0,0,0,0,0,0,0,0,774,0,0,0,0,774,139.78913,35.63971
2008,6606,大多喜,0,0,0,0,0,0,0,0,0,714,0,0,0,0,714,0,0,0,0,0,0,0,0,0,642,0,0,0,0,642,140.24378,35.28619
2008,6608,東総元,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.24727,35.25929
2008,6605,上総中川,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.28097,35.28269
2008,6604,国吉,0,0,0,0,0,0,0,0,0,207,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.31468,35.28039
2008,6609,久我原,0,0,0,0,0,0,0,0,0,35,0,0,0,0,35,0,0,0,0,0,0,0,0,0,35,0,0,0,0,35,140.24745,35.25053
2008,6602,上総東,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,76,140.34531,35.26333
2008,6611,西畑,0,0,0,0,0,0,0,0,0,44,0,0,0,0,44,0,0,0,0,0,0,0,0,0,44,0,0,0,0,44,140.21555,35.25064
2008,6607,小谷松,0,0,0,0,0,0,0,0,0,98,0,0,0,0,98,0,0,0,0,0,0,0,0,0,98,0,0,0,0,98,140.25137,35.26877
2008,6610,総元,0,111,0,0,0,0,0,0,0,0,0,0,0,0,111,0,111,0,0,0,0,0,0,0,0,0,0,0,0,111,140.23994,35.24055
2008,6601,西大原,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.37839,35.26051
2008,6603,新田野,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.32877,35.27573
2008,6004,穴部,0,0,0,0,0,0,0,0,0,1360,0,0,0,0,1360,0,0,0,0,0,0,0,0,0,1180,0,0,0,0,1180,139.14904,35.27962
2008,6009,和田河原,0,0,0,75,315,0,0,0,0,1561,0,0,0,0,1951,0,0,0,75,131,0,0,0,0,1432,0,0,0,0,1638,139.11779,35.31601
2008,6007,岩原,0,0,0,0,0,0,0,0,142,1597,0,0,0,0,1739,0,0,0,0,0,0,0,0,142,1239,0,0,0,0,1381,139.12903,35.29857
2008,6011,大雄山,70,318,112,0,0,0,0,0,229,2093,0,0,0,0,2822,70,256,112,0,0,62,0,0,87,2096,0,0,0,0,2683,139.10328,35.31913
2008,6002,井細田,0,0,0,0,0,0,0,0,0,1086,0,0,0,0,1086,0,0,0,0,0,0,0,0,0,1010,0,0,0,0,1010,139.15742,35.26865
2008,6001,緑町,0,0,0,0,0,0,0,0,0,159,0,0,0,0,159,0,0,0,0,0,0,0,0,0,238,0,0,0,0,238,139.15844,35.259
2008,6006,相模沼田,0,72,0,0,0,0,0,0,78,863,0,0,0,0,1013,0,79,0,0,0,0,0,0,78,719,0,0,0,0,876,139.13429,35.292
2008,6003,五百羅漢,0,0,0,0,0,0,0,0,170,283,0,0,0,0,453,0,0,0,0,0,0,0,0,170,328,0,0,0,0,498,139.15595,35.27491
2008,6008,塚原,0,112,0,0,0,0,0,67,576,534,0,0,0,0,1289,0,112,0,0,0,0,0,67,576,1172,0,0,0,0,1927,139.12691,35.30112
2008,6005,飯田岡,0,0,0,0,0,0,0,0,89,587,0,0,0,0,676,0,0,0,0,0,0,0,0,89,482,0,0,0,0,571,139.13962,35.28767
2008,6010,富士フイルム前,0,0,0,0,0,0,0,0,0,926,0,0,0,0,926,0,0,0,0,0,0,0,0,0,891,0,0,0,0,891,139.10911,35.3178
2008,8802,みなとみらい,0,69,0,0,0,97,0,41,0,27366,0,0,0,46,27619,0,0,0,0,0,80,0,0,38,28863,0,0,0,0,28981,139.63183,35.45847
2008,8805,元町・中華街,1844,200,0,55,0,185,40,79,632,12472,0,0,0,0,15507,1253,153,0,55,0,268,40,79,632,13008,0,0,0,0,15488,139.64977,35.44296
2008,8801,新高島,0,0,0,0,0,35,0,0,97,1960,0,0,0,0,2092,27,0,0,0,0,0,0,0,97,2384,0,0,0,0,2508,139.62567,35.46196
2008,8803,馬車道,86,26,0,0,0,0,0,0,0,11098,0,0,0,0,11210,44,0,0,0,0,0,0,0,0,11217,0,0,0,0,11261,139.63519,35.4505
2008,8804,日本大通り,180,0,0,0,54,44,0,0,187,16134,0,0,0,85,16684,114,0,0,0,0,0,0,0,187,17054,0,0,0,85,17440,139.64175,35.44735
2008,8013,吉野町,579,0,0,0,0,30,0,51,0,5740,0,0,0,0,6400,542,79,0,0,36,38,0,51,76,5196,0,0,0,0,6018,139.61924,35.43557
